"future","playerID","firstName","lastName","name","team","logo","mgm_odds","mgm_winPct"
"Hart Trophy","4075","Nathan","MacKinnon","Nathan MacKinnon","COL","https://content.rotowire.com/images/teamlogo/hockey/100COL.png?v=5","-125","50.6"
"Hart Trophy","3828","Nikita","Kucherov","Nikita Kucherov","TBL","https://content.rotowire.com/images/teamlogo/hockey/100TBL.png?v=5","375","19.2"
"Hart Trophy","4712","Connor","McDavid","Connor McDavid","EDM","https://content.rotowire.com/images/teamlogo/hockey/100EDM.png?v=5","220","28.5"
"Hart Trophy","7127","Macklin","Celebrini","Macklin Celebrini","SJS","https://content.rotowire.com/images/teamlogo/hockey/100SJS.png?v=5","5000","1.8"
"Hart Trophy","4900","Sebastian","Aho","Sebastian Aho","CAR","https://content.rotowire.com/images/teamlogo/hockey/100CAR.png?v=5",NA,NA
"Hart Trophy","6916","Connor","Bedard","Connor Bedard","CHI","https://content.rotowire.com/images/teamlogo/hockey/100CHI.png?v=5",NA,NA
"Hart Trophy","5689","Rasmus","Dahlin","Rasmus Dahlin","BUF","https://content.rotowire.com/images/teamlogo/hockey/100BUF.png?v=5",NA,NA
"Hart Trophy","4386","Leon","Draisaitl","Leon Draisaitl","EDM","https://content.rotowire.com/images/teamlogo/hockey/100EDM.png?v=5",NA,NA
"Hart Trophy","4721","Jack","Eichel","Jack Eichel","VGK","https://content.rotowire.com/images/teamlogo/hockey/100VGK.png?v=5",NA,NA
"Hart Trophy","5278","Kirill","Kaprizov","Kirill Kaprizov","MIN","https://content.rotowire.com/images/teamlogo/hockey/100MIN.png?v=5",NA,NA
