"future","playerID","firstName","lastName","name","team","logo","mgm_odds","mgm_winPct"
"Hart Trophy","4075","Nathan","MacKinnon","Nathan MacKinnon","COL","https://content.rotowire.com/images/teamlogo/hockey/100COL.png?v=5","-200","55.0"
"Hart Trophy","3828","Nikita","Kucherov","Nikita Kucherov","TBL","https://content.rotowire.com/images/teamlogo/hockey/100TBL.png?v=5","360","17.9"
"Hart Trophy","7127","Macklin","Celebrini","Macklin Celebrini","SJS","https://content.rotowire.com/images/teamlogo/hockey/100SJS.png?v=5","400","16.5"
"Hart Trophy","4712","Connor","McDavid","Connor McDavid","EDM","https://content.rotowire.com/images/teamlogo/hockey/100EDM.png?v=5","900","8.3"
"Hart Trophy","4900","Sebastian","Aho","Sebastian Aho","CAR","https://content.rotowire.com/images/teamlogo/hockey/100CAR.png?v=5",NA,NA
"Hart Trophy","4783","Kyle","Connor","Kyle Connor","WPG","https://content.rotowire.com/images/teamlogo/hockey/100WPG.png?v=5","50000","0.2"
"Hart Trophy","5689","Rasmus","Dahlin","Rasmus Dahlin","BUF","https://content.rotowire.com/images/teamlogo/hockey/100BUF.png?v=5","50000","0.2"
"Hart Trophy","4386","Leon","Draisaitl","Leon Draisaitl","EDM","https://content.rotowire.com/images/teamlogo/hockey/100EDM.png?v=5","50000","0.2"
"Hart Trophy","4721","Jack","Eichel","Jack Eichel","VGK","https://content.rotowire.com/images/teamlogo/hockey/100VGK.png?v=5","50000","0.2"
"Hart Trophy","6202","Seth","Jarvis","Seth Jarvis","CAR","https://content.rotowire.com/images/teamlogo/hockey/100CAR.png?v=5","50000","0.2"
